Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,210.675003,210.787994,206.587006,207.281006,174.267395,182717
2014-01-02,207.375000,208.761993,204.750000,207.337006,174.314484,265808
2014-01-03,206.399994,209.606003,205.311996,208.931000,175.654587,251856
2014-01-06,209.399994,211.649994,208.143997,209.268997,175.938751,476797
2014-01-07,209.511993,209.511993,205.031006,206.231003,173.384613,267016
2014-01-08,206.324997,206.699997,204.000000,204.863007,172.234528,336360
2014-01-09,205.125000,207.393997,201.488007,202.781006,170.484116,318989
2014-01-10,203.662994,208.744003,199.500000,207.955994,174.834854,782432
2014-01-13,208.125000,212.794006,208.125000,210.544006,177.010681,864893
2014-01-14,210.938004,211.125000,206.250000,207.261993,174.251434,270160
2014-01-15,208.125000,211.294006,207.074997,210.037994,176.585266,211947
2014-01-16,210.375000,214.837006,208.875000,213.899994,179.832169,417741
2014-01-17,215.587006,215.755997,206.061996,207.169006,174.173218,786568
2014-01-20,207.225006,216.656006,207.225006,214.988007,180.746887,977632
2014-01-21,214.988007,216.656006,213.300003,214.311996,180.178574,341200
2014-01-22,214.500000,218.250000,212.625000,216.544006,184.639694,412219
2014-01-23,216.524994,217.481003,211.875000,216.899994,184.943253,291045
2014-01-24,216.000000,219.994003,213.975006,214.949997,183.280548,357323
2014-01-27,214.125000,217.087006,211.875000,214.050003,182.513138,294867
2014-01-28,212.625000,215.250000,211.613007,213.000000,181.617844,157877
2014-01-29,213.000000,215.962006,212.287994,214.425003,182.832886,176776
2014-01-30,213.975006,215.625000,210.580994,214.444000,182.849106,168573
2014-01-31,214.238007,217.125000,213.750000,215.606003,183.839905,171227
2014-02-03,215.250000,215.250000,210.955994,212.231003,180.962158,148864
2014-02-04,210.074997,210.074997,204.130997,208.462006,177.748444,255741
2014-02-05,209.625000,211.875000,206.755997,209.925003,178.995895,157349
2014-02-06,211.125000,214.199997,208.181000,213.130997,181.729568,261227
2014-02-07,213.375000,215.044006,208.875000,210.356003,179.363388,231864
2014-02-10,211.649994,213.561996,210.449997,211.143997,180.035278,94752
2014-02-11,211.425003,214.125000,210.130997,211.087006,179.986710,460477
2014-02-12,211.875000,214.125000,209.250000,210.806000,179.747086,306349
2014-02-13,211.125000,212.287994,206.419006,208.369003,177.669159,257067
2014-02-14,210.938004,212.399994,207.393997,211.500000,180.338852,185565
2014-02-17,212.250000,213.544006,208.988007,210.319000,179.331848,213557
2014-02-18,211.011993,211.800003,208.125000,208.893997,178.116791,1502789
2014-02-19,209.625000,213.000000,208.949997,211.705994,180.514465,234445
2014-02-20,211.500000,213.843994,210.431000,212.100006,180.850449,958819
2014-02-21,212.811996,215.531006,212.287994,214.425003,182.832886,209424
2014-02-24,215.531006,218.136993,213.768997,216.787994,184.847748,348971
2014-02-25,217.311996,223.800003,217.311996,223.181000,190.298843,429736
2014-02-26,223.199997,228.938004,222.787994,226.255997,192.920776,489555
2014-02-28,226.425003,226.856003,221.156006,223.781006,190.810440,287344
2014-03-03,223.125000,224.962006,218.944000,219.619003,187.261627,232357
2014-03-04,219.412994,223.050003,219.412994,220.931000,188.380325,340168
2014-03-05,221.699997,223.500000,220.143997,221.100006,188.524414,171800
2014-03-06,221.569000,222.824997,218.811996,219.205994,186.909515,146648
2014-03-07,220.011993,221.250000,210.000000,212.080994,180.834229,518872
2014-03-10,211.837006,214.294006,208.274994,209.024994,178.228500,318776
2014-03-11,209.511993,212.438004,207.712006,209.962006,179.027466,325595
2014-03-12,210.093994,213.750000,209.886993,212.380997,181.090042,252587
2014-03-13,211.462006,215.399994,206.475006,211.274994,180.147003,517107
2014-03-14,210.750000,211.669006,204.375000,205.143997,174.919296,482301
2014-03-18,206.136993,206.531006,201.544006,202.613007,172.761200,326997
2014-03-19,202.837006,206.175003,198.356003,204.375000,174.263611,419640
2014-03-20,204.750000,209.962006,204.675003,206.606003,176.165894,719352
2014-03-21,209.250000,216.412994,207.919006,212.981003,181.601654,632115
2014-03-22,null,null,null,null,null,null
2014-03-24,214.125000,215.531006,210.431000,211.143997,180.035278,213749
2014-03-25,209.925003,209.944000,204.863007,205.688004,175.383163,226904
2014-03-26,206.850006,208.931000,204.037994,204.505997,174.375305,333640
2014-03-27,204.750000,208.125000,202.500000,206.830994,176.357742,392891
2014-03-28,207.037994,209.550003,206.324997,206.811996,176.341553,191899
2014-03-31,207.750000,207.750000,201.955994,203.475006,173.496216,457984
2014-04-01,205.500000,210.787994,205.125000,210.188004,179.220169,1256096
2014-04-02,211.386993,214.649994,209.869003,211.949997,180.722549,602205
2014-04-03,212.250000,213.000000,209.061996,210.188004,179.220169,264941
2014-04-04,210.787994,213.188004,206.662994,207.468994,176.901749,221581
2014-04-07,206.531006,210.149994,206.250000,208.649994,177.908768,211533
2014-04-09,209.250000,210.750000,206.136993,207.619003,177.029663,205891
2014-04-10,207.750000,211.462006,206.550003,210.169006,179.203964,388453
2014-04-11,209.268997,213.919006,206.886993,212.981003,181.601654,390584
2014-04-15,211.875000,221.643997,211.875000,220.875000,188.332596,626437
2014-04-16,223.125000,223.125000,213.375000,214.462006,182.864441,708995
2014-04-17,215.662994,220.875000,215.268997,219.580994,187.229233,530131
2014-04-21,213.149994,213.149994,204.000000,204.975006,174.775208,1975845
2014-04-22,205.500000,206.080994,197.569000,199.238007,169.883453,1206517
2014-04-23,200.569000,201.750000,196.311996,196.875000,167.868607,1147304
2014-04-24,196.875000,196.875000,196.875000,196.875000,167.868607,0
2014-04-25,198.750000,198.750000,193.875000,194.906006,166.189697,907317
2014-04-28,195.375000,199.125000,194.306000,198.393997,169.163803,817384
2014-04-29,199.500000,201.113007,196.386993,196.837006,167.836227,657523
