Date,JNJ,WMT,DIS,INTC,IBM,NFLX,GOOG,TSLA,AAPL,MSFT
4/18/2019,137.520004,103.18,132.449997,58.490002,140.330002,360.350006,1236.369995,273.26001,203.860001,123.370003
4/22/2019,137.830002,102.370003,131.679993,58.82,138.889999,377.339996,1248.839966,262.75,204.529999,123.760002
4/23/2019,139.899994,103.07,133.360001,58.779999,140.440002,381.890015,1264.550049,263.899994,207.479996,125.440002
4/24/2019,139.199997,103.529999,135.100006,58.720001,139.949997,374.230011,1256,258.660004,207.160004,125.010002
4/25/2019,139.649994,103.519997,137.240005,57.610001,138.630005,368.329987,1263.449951,247.630005,205.279999,129.149994
4/26/2019,140.389999,101.529999,139.919998,52.43,139.440002,374.850006,1272.180054,235.139999,204.300003,129.889999
4/29/2019,139.839996,101.559998,139.300003,51.110001,139.050003,371.829987,1287.579956,241.470001,204.610001,129.770004
4/30/2019,141.199997,102.839996,136.970001,51.040001,140.270004,370.540009,1188.47998,238.690002,200.669998,130.600006
5/1/2019,141.949997,101.360001,136.380005,50.759998,140.559998,378.809998,1168.079956,234.009995,210.520004,127.879997
5/2/2019,141.279999,101.150002,134.139999,50.549999,139.589996,379.059998,1162.609985,244.100006,209.149994,126.209999
5/3/2019,142.009995,102.080002,134.330002,51.75,140.25,385.029999,1185.400024,255.029999,211.75,128.899994
5/6/2019,142.089996,102.459999,135,51.220001,140.380005,378.670013,1189.390015,255.339996,208.479996,128.149994
