Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,799.299988,799.299988,790.450012,793.150024,723.219299,24034
2014-01-02,799.000000,809.400024,785.000000,791.450012,721.669434,181723
2014-01-03,793.000000,794.099976,781.000000,790.000000,720.347229,109992
2014-01-06,795.000000,798.000000,785.650024,795.000000,724.906616,155545
2014-01-07,802.000000,802.000000,788.799988,797.650024,727.322754,97506
2014-01-08,801.000000,805.250000,796.750000,804.450012,733.523071,101991
2014-01-09,805.000000,806.599976,797.299988,800.500000,729.921326,60497
2014-01-10,800.000000,806.200012,797.250000,800.000000,729.465515,38431
2014-01-13,805.000000,821.599976,800.299988,818.849976,746.688293,100494
2014-01-14,815.000000,825.900024,815.000000,823.849976,751.247681,69471
2014-01-15,825.000000,847.299988,820.049988,844.950012,770.488098,209565
2014-01-16,845.500000,867.950012,845.500000,860.200012,784.393860,258968
2014-01-17,859.000000,860.750000,834.849976,840.400024,766.339050,181465
2014-01-20,842.000000,845.000000,830.500000,835.250000,761.642761,51236
2014-01-21,835.000000,843.549988,833.849976,837.349976,763.557678,33365
2014-01-22,839.200012,846.000000,831.000000,842.250000,768.026001,116472
2014-01-23,842.250000,859.099976,835.599976,856.049988,780.609619,245049
2014-01-24,859.000000,859.000000,843.099976,844.799988,770.351196,73484
2014-01-27,836.000000,842.750000,830.650024,832.250000,758.907166,351897
2014-01-28,833.000000,844.700012,827.000000,832.900024,759.536621,68883
2014-01-29,835.000000,840.000000,820.000000,825.200012,752.514954,384490
2014-01-30,818.000000,833.400024,811.500000,828.700012,755.706482,1262670
2014-01-31,830.000000,830.700012,805.000000,808.000000,736.829773,194787
2014-02-03,805.000000,808.000000,785.250000,788.900024,719.412354,57427
2014-02-04,783.799988,794.799988,775.000000,788.299988,718.865173,67486
2014-02-05,794.950012,794.950012,778.599976,785.799988,716.585571,63344
2014-02-06,790.250000,796.400024,772.599976,785.000000,715.855774,247247
2014-02-07,791.500000,792.500000,775.500000,783.549988,714.533569,71590
2014-02-10,792.400024,792.400024,764.049988,766.200012,698.711487,93712
2014-02-11,768.000000,777.250000,765.299988,775.200012,706.919312,102649
2014-02-12,783.349976,786.900024,774.299988,785.200012,716.038147,223166
2014-02-13,781.000000,783.450012,764.099976,766.150024,698.666077,159282
2014-02-14,767.000000,774.799988,755.599976,771.700012,703.727295,90143
2014-02-17,771.000000,788.000000,771.000000,780.549988,711.797852,258670
2014-02-18,780.000000,807.200012,780.000000,803.900024,733.091003,109831
2014-02-19,805.000000,807.900024,793.000000,805.599976,734.641479,40948
2014-02-20,803.000000,804.549988,790.000000,792.500000,722.695190,28991
2014-02-21,793.000000,803.549988,791.400024,798.400024,728.075745,166677
2014-02-24,802.000000,813.799988,788.900024,810.650024,739.246582,445399
2014-02-25,819.750000,819.750000,807.549988,811.000000,739.565796,80579
2014-02-26,813.000000,821.900024,809.900024,819.000000,746.886475,50439
2014-02-28,819.000000,823.700012,810.950012,818.349976,746.293579,45705
2014-03-03,811.049988,824.500000,808.500000,811.000000,739.590820,58317
2014-03-04,814.599976,824.000000,814.599976,821.849976,749.485413,42455
2014-03-05,826.450012,828.000000,813.099976,826.849976,754.045044,34686
2014-03-06,827.000000,839.750000,824.750000,837.200012,763.483826,135791
2014-03-07,839.000000,853.500000,837.750000,848.599976,773.880066,781916
2014-03-10,847.000000,857.599976,830.599976,849.049988,774.290344,230871
2014-03-11,850.000000,856.000000,842.299988,851.299988,776.373596,267200
2014-03-12,850.000000,857.500000,845.400024,854.349976,779.155396,135030
2014-03-13,850.099976,868.500000,850.099976,866.250000,790.007690,138817
2014-03-14,858.000000,862.400024,852.000000,856.799988,781.389709,789874
2014-03-18,850.250000,858.200012,841.000000,851.450012,776.510315,93625
2014-03-19,855.000000,867.849976,855.000000,866.500000,790.235962,69476
2014-03-20,863.000000,868.250000,845.750000,848.099976,773.455444,54365
2014-03-21,850.099976,857.200012,839.950012,841.650024,767.572998,216154
2014-03-22,null,null,null,null,null,null
2014-03-24,848.000000,862.000000,842.750000,860.099976,784.399170,174875
2014-03-25,855.000000,873.000000,855.000000,870.450012,793.838257,199387
2014-03-26,872.000000,874.000000,860.000000,866.650024,790.429077,250054
2014-03-27,870.000000,879.450012,861.000000,875.200012,798.227234,109664
