Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,52.555599,53.855598,52.555599,53.211102,26.320456,370400
2014-01-02,53.777802,54.066700,51.233299,51.577801,25.512556,491382
2014-01-03,50.888901,52.000000,50.222198,50.533298,24.995892,284288
2014-01-06,51.777802,51.844398,50.033298,50.288898,24.875004,462951
2014-01-07,50.299999,50.388901,49.000000,49.422199,24.446301,1308978
2014-01-08,49.111099,49.655602,47.977798,48.244400,23.863716,529150
2014-01-09,48.111099,49.388901,47.655602,48.855598,24.166035,558369
2014-01-10,48.888901,49.799999,48.444401,49.033298,24.253937,393098
2014-01-13,49.755600,49.755600,48.500000,49.122200,24.297909,201123
2014-01-14,49.222198,49.533298,48.544399,48.722198,24.100052,187268
2014-01-15,48.722198,49.833302,48.599998,49.422199,24.446301,274324
2014-01-16,49.444401,50.444401,49.133301,50.133301,24.798038,200232
2014-01-17,50.666698,52.777802,50.555599,52.566700,26.001699,768388
2014-01-20,52.222198,52.444401,51.222198,51.933300,25.688398,283167
2014-01-21,52.000000,52.311100,50.555599,51.933300,25.688398,249768
2014-01-22,51.544399,53.155602,51.466702,52.677799,26.056656,303426
2014-01-23,52.666698,52.922199,51.977798,52.333302,25.886253,186156
2014-01-24,52.011101,53.155602,51.422199,51.677799,25.562012,365540
2014-01-27,51.544399,51.544399,50.322201,50.755600,25.105858,143492
2014-01-28,50.444401,51.422199,50.133301,50.544399,25.001389,175810
2014-01-29,51.088902,54.511101,50.444401,53.377800,26.402905,1025532
2014-01-30,53.088902,53.244400,51.577801,51.811100,25.627951,456926
2014-01-31,52.155602,54.500000,51.799999,54.322201,26.870045,610096
2014-02-03,53.777802,54.377800,52.688900,54.155602,26.787642,397480
2014-02-04,53.777802,54.033298,53.033298,53.477798,26.452368,178074
2014-02-05,52.844398,53.733299,52.444401,53.200001,26.314959,217872
2014-02-06,53.433300,54.377800,53.077801,53.811100,26.617233,242955
2014-02-07,54.222198,54.333302,53.333302,53.577801,26.501831,146610
2014-02-10,53.777802,54.155602,53.288898,53.777802,26.600765,81428
2014-02-11,54.222198,55.811100,53.555599,55.500000,27.452631,642933
2014-02-12,55.555599,55.766701,53.599998,54.544399,26.979958,443686
2014-02-13,54.444401,54.533298,51.988899,52.122200,25.781839,255465
2014-02-14,51.777802,52.711102,51.611099,52.466702,25.952242,202100
2014-02-17,53.088902,53.377800,51.577801,52.922199,26.177549,133502
2014-02-18,53.222198,53.555599,52.655602,53.277802,26.353443,130730
2014-02-19,53.777802,53.777802,52.377800,53.288898,26.358927,238707
2014-02-20,52.866699,54.111099,52.577801,53.866699,26.644737,197595
2014-02-21,53.777802,56.633301,53.355598,56.344398,27.870312,501219
2014-02-24,56.666698,57.277802,55.500000,56.133301,27.765892,241614
2014-02-25,55.988899,57.777802,55.988899,56.955601,28.172638,484178
2014-02-26,56.355598,59.011101,56.044399,58.333302,28.854109,525222
2014-02-28,58.844398,59.111099,57.433300,58.766701,29.068481,311049
2014-03-03,58.555599,60.211102,57.977798,60.044399,29.700491,479367
2014-03-04,60.000000,60.799999,58.977798,60.444401,29.898342,269402
2014-03-05,59.777802,61.555599,59.777802,61.077801,30.211653,336002
2014-03-06,61.555599,63.333302,61.066700,62.933300,31.129457,513828
2014-03-07,63.244400,64.866699,63.111099,64.533302,31.920887,566456
2014-03-10,64.111099,64.877800,63.000000,64.144402,31.728518,677025
2014-03-11,64.044403,65.111099,62.944401,63.555599,31.437273,481360
2014-03-12,63.888901,63.888901,61.955601,62.344398,30.838156,207009
2014-03-13,62.333302,69.111099,62.133301,64.555603,31.931917,3244478
2014-03-14,64.444397,65.644402,62.333302,63.344398,31.332806,1328112
2014-03-18,63.677799,66.444397,63.677799,65.455597,32.377090,764694
2014-03-19,66.000000,66.355598,64.622200,64.822197,32.063797,541476
2014-03-20,64.000000,64.444397,62.688900,63.511101,31.415264,1150672
2014-03-21,63.511101,64.777802,61.555599,61.855598,30.596384,461434
2014-03-22,null,null,null,null,null,null
2014-03-24,62.111099,63.511101,61.444401,63.000000,31.162455,1115028
2014-03-25,62.888901,65.333298,62.555599,64.500000,31.904415,805752
2014-03-26,65.066704,66.222198,64.555603,64.966698,32.135265,474116
