Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,212.000000,215.800003,210.199997,211.350006,208.428986,1572
2014-01-02,211.850006,214.399994,210.000000,210.300003,207.393509,8163
2014-01-03,210.000000,211.899994,210.000000,210.000000,207.097656,3314
2014-01-06,210.050003,212.000000,207.000000,210.000000,207.097656,6050
2014-01-07,212.000000,212.699997,210.000000,210.050003,207.146957,8375
2014-01-08,211.399994,211.399994,210.000000,210.000000,207.097656,2405
2014-01-09,211.600006,211.800003,208.000000,210.199997,207.294876,12957
2014-01-10,208.550003,211.250000,202.600006,210.149994,207.245575,4391
2014-01-13,208.250000,208.250000,195.699997,200.100006,197.334488,6783
2014-01-14,198.800003,207.949997,196.100006,197.649994,194.918320,1618
2014-01-15,202.350006,202.350006,195.250000,198.300003,195.559357,2158
2014-01-16,199.000000,200.000000,193.300003,195.149994,192.452881,3052
2014-01-17,197.000000,199.000000,189.050003,190.550003,187.916443,5866
2014-01-20,192.350006,193.500000,187.000000,187.100006,184.514130,4215
2014-01-21,190.000000,197.399994,185.000000,195.250000,192.551498,10785
2014-01-22,196.000000,196.399994,191.949997,193.699997,191.022919,1148
2014-01-23,191.600006,196.050003,189.500000,190.699997,188.064392,790
2014-01-24,190.500000,193.300003,187.000000,187.050003,184.464844,151943
2014-01-27,185.000000,186.000000,181.000000,181.600006,179.090149,1039
2014-01-28,181.600006,184.500000,178.500000,180.600006,178.103989,1286
2014-01-29,181.899994,181.899994,176.199997,176.550003,174.109955,1081
2014-01-30,180.550003,180.550003,172.000000,174.500000,172.088287,4194
2014-01-31,175.149994,183.850006,175.149994,179.649994,177.167084,1908
2014-02-03,182.000000,187.300003,180.300003,182.300003,179.780487,3006
2014-02-04,180.000000,206.750000,178.000000,189.000000,186.387909,196872
2014-02-05,192.699997,192.699997,184.350006,185.800003,183.232117,36888
2014-02-06,188.000000,193.500000,184.100006,185.600006,183.034897,11351
2014-02-07,186.600006,195.000000,184.100006,189.949997,187.324753,13265
2014-02-10,192.000000,192.949997,188.000000,189.449997,186.831680,5453
2014-02-11,190.000000,191.750000,182.149994,184.399994,181.851440,9563
2014-02-12,185.250000,185.699997,178.350006,179.800003,177.315033,2827
2014-02-13,182.000000,182.000000,174.199997,174.750000,172.334808,7358
2014-02-14,176.399994,183.800003,173.000000,181.550003,179.040848,6878
2014-02-17,180.000000,186.000000,177.250000,185.250000,182.689697,12187
