Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,52.877800,53.922199,52.555599,53.233299,26.332039,2909592
2014-01-02,53.933300,53.977798,51.422199,51.644402,25.546089,5962972
2014-01-03,51.422199,52.000000,50.111099,50.455601,24.958042,3571124
2014-01-06,51.266701,51.655602,49.855598,50.122200,24.793125,4759160
2014-01-07,49.855598,50.377800,48.944401,49.255600,24.364458,4885034
2014-01-08,49.000000,49.700001,48.000000,48.255600,23.869802,3313364
2014-01-09,48.044399,49.422199,47.666698,48.944401,24.210522,5005998
2014-01-10,49.099998,49.844398,48.488899,49.044399,24.259989,2876972
2014-01-13,49.144402,49.655602,48.377800,48.988899,24.232534,2935620
2014-01-14,48.799999,49.500000,48.444401,48.566700,24.023693,1256589
2014-01-15,48.444401,49.755600,48.444401,49.366699,24.419415,2926814
2014-01-16,49.422199,50.599998,49.111099,50.233299,24.848082,2941610
2014-01-17,50.444401,52.877800,50.444401,52.622200,26.029758,7501594
2014-01-20,52.333302,52.411098,51.166698,51.933300,25.688993,3105580
2014-01-21,52.000000,52.400002,50.500000,51.933300,25.688993,4317507
2014-01-22,51.888901,53.177799,51.333302,52.855598,26.145212,2146617
2014-01-23,52.788898,53.055599,52.000000,52.333302,25.886850,3217014
2014-01-24,52.011101,53.177799,51.344398,51.611099,25.529612,2993904
2014-01-27,51.122200,51.322201,50.277802,50.677799,25.067951,2290023
2014-01-28,50.566700,51.488899,50.133301,50.444401,24.952505,3620439
2014-01-29,50.666698,54.588902,50.322201,53.411098,26.419987,9863194
2014-01-30,53.111099,53.311100,51.488899,51.744400,25.595551,5619609
2014-01-31,51.877800,54.577801,51.777802,54.277802,26.848709,5724446
2014-02-03,54.277802,54.555599,52.622200,54.311100,26.865185,5846558
2014-02-04,53.566700,54.033298,52.944401,53.366699,26.398033,3794854
2014-02-05,53.544399,53.755600,52.466702,53.322201,26.376017,4295156
2014-02-06,53.333302,54.422199,53.111099,53.933300,26.678301,3744882
2014-02-07,54.244400,54.433300,53.377800,53.622200,26.524408,1992622
2014-02-10,53.766701,54.155602,53.233299,53.844398,26.634323,1331379
2014-02-11,54.044399,55.822201,53.433300,55.488899,27.447781,4770446
2014-02-12,55.488899,55.488899,53.633301,54.622200,27.019066,4155813
2014-02-13,54.688900,54.755600,52.011101,52.200001,25.820919,2567790
2014-02-14,52.433300,52.833302,51.599998,52.522202,25.980295,1857334
2014-02-17,52.766701,53.433300,51.555599,52.922199,26.178160,1293552
2014-02-18,52.844398,53.611099,52.677799,53.355598,26.392534,2583392
2014-02-19,53.299999,53.522202,52.400002,53.288898,26.359543,1607301
2014-02-20,53.011101,54.099998,52.511101,53.822201,26.623343,2408481
2014-02-21,53.822201,56.555599,53.311100,56.322201,27.859976,5662562
2014-02-24,56.444401,57.299999,55.488899,56.066700,27.733593,3876615
2014-02-25,56.222198,57.544399,56.033298,56.933300,28.162264,3689460
2014-02-26,56.000000,58.977798,56.000000,58.377800,28.876791,7916702
2014-02-28,59.000000,59.088902,57.344398,58.833302,29.102104,5659938
2014-03-03,58.722198,60.255600,57.911098,60.011101,29.684706,7847806
2014-03-04,59.755600,60.888901,58.933300,60.344398,29.849573,3655260
2014-03-05,60.666698,61.655602,59.922199,61.077801,30.212345,4668012
2014-03-06,61.444401,63.522202,61.111099,62.988899,31.157686,6736640
2014-03-07,63.488899,64.888901,63.155602,64.544403,31.927122,6557008
2014-03-10,64.000000,64.788902,63.000000,64.199997,31.756756,10666530
2014-03-11,63.788898,65.088898,62.788898,63.722198,31.520409,8540280
2014-03-12,63.355598,63.433300,61.855598,62.422199,30.877365,5227317
2014-03-13,62.222198,69.088898,61.988899,64.622200,31.965603,24786176
2014-03-14,64.422203,65.722198,62.288898,63.366699,31.344564,10849522
2014-03-18,63.611099,66.444397,63.611099,65.599998,32.449268,10963323
2014-03-19,66.222198,66.366699,64.544403,64.866699,32.086540,9087610
2014-03-20,63.566700,64.544403,62.588902,63.777802,31.547916,10986224
2014-03-21,63.977798,64.844398,61.444401,61.799999,30.569584,9204318
2014-03-22,null,null,null,null,null,null
2014-03-24,61.777802,63.599998,61.355598,62.944401,31.135679,7305358
2014-03-25,63.111099,65.322197,62.433300,64.488899,31.899664,9850406
2014-03-26,64.888901,66.255600,64.599998,64.988899,32.146992,6988185
2014-03-27,65.333298,68.533302,65.011101,65.988899,32.641647,14051534
2014-03-28,66.000000,68.888901,65.911102,68.166702,33.718899,6665760
2014-03-31,68.177803,70.166702,67.777802,68.844398,34.054127,5105444
2014-04-01,67.777802,69.044403,66.844398,67.444397,33.361614,8197232
2014-04-02,67.888901,68.977798,67.611099,68.344398,33.806797,4949613
2014-04-03,68.355598,68.677803,66.233299,66.788902,33.037373,7542648
2014-04-04,65.922203,72.199997,65.388901,69.855598,34.554314,11557444
2014-04-07,69.888901,71.111099,68.011101,68.300003,33.784840,5030226
2014-04-09,68.444397,70.055603,68.444397,69.733299,34.493828,4216018
2014-04-10,69.800003,71.111099,68.277802,70.777802,35.010487,9607464
2014-04-11,70.444397,72.077797,68.822197,69.066704,34.164097,6397150
2014-04-15,69.000000,70.555603,68.111099,69.822197,34.537796,5584306
2014-04-16,69.488899,69.488899,66.733299,67.300003,33.290188,4964612
2014-04-17,67.555603,69.977798,66.288902,69.322197,34.290470,6889572
2014-04-21,69.333298,71.400002,68.588898,70.866699,35.054466,5899248
2014-04-22,71.111099,74.022202,70.500000,72.833298,36.027248,9920241
2014-04-23,73.133301,74.444397,72.033302,72.555603,35.889893,9049482
2014-04-24,72.555603,72.555603,72.555603,72.555603,35.889893,0
2014-04-25,72.466698,72.833298,69.733299,70.022202,34.636734,8925844
2014-04-28,69.711098,71.377800,68.955597,70.699997,34.972012,4707410
2014-04-29,70.133301,71.400002,70.122200,70.766701,35.004997,4134492
2014-04-30,71.333298,72.666702,69.355598,71.522202,35.378712,9078538
2014-05-02,71.977798,73.555603,71.688904,73.211098,36.214130,3860748
2014-05-05,73.777802,75.444397,73.222198,74.455597,36.829727,4661438
